,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount Clean,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount
7628,20,K201,I.S. 201 - BROOKLYN,SCA CIP,GYM FLOOR REPLACEMENT,Design,Complete,2023-12-07,2024-04-24,2024-05-31,85010.0,57411.0,54040.0
7629,20,K201,I.S. 201 - BROOKLYN,SCA CIP,GYM FLOOR REPLACEMENT,Construction,PNS,,,,1348011.0,1348011.0,16748.0
7630,20,K201,I.S. 201 - BROOKLYN,SCA CIP,GYM FLOOR REPLACEMENT,"CM,F&E",PNS,,,,133587.0,133587.0,20930.0
7631,20,K201,I.S. 201 - BROOKLYN,SCA CIP,PATH OF TRAVEL GYM FLOOR REPLACEMENT,Scope,Complete,2023-10-27,2024-02-01,2024-01-11,7615.0,7615.0,7615.0
7632,20,K201,I.S. 201 - BROOKLYN,SCA CIP,PATH OF TRAVEL GYM FLOOR REPLACEMENT,Design,Complete,2024-01-12,2024-05-15,2024-05-31,22709.0,22709.0,22709.0
7633,20,K201,I.S. 201 - BROOKLYN,SCA CIP,PATH OF TRAVEL GYM FLOOR REPLACEMENT,Construction,PNS,,,,91334.0,91334.0,0.0
7634,20,K201,I.S. 201 - BROOKLYN,SCA CIP,PATH OF TRAVEL GYM FLOOR REPLACEMENT,"CM,F&E",PNS,,,,23429.0,23429.0,3345.0
7643,20,K205,P.S. 205 - BROOKLYN,SCA CIP,FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,2024-01-19,2024-04-18,2024-03-25,22834.0,30447.0,30447.0
7644,20,K205,P.S. 205 - BROOKLYN,SCA CIP,FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,2024-04-03,2024-10-04,2024-12-12,106558.0,86768.0,84614.0
7645,20,K205,P.S. 205 - BROOKLYN,SCA CIP,FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,,,,1689699.0,1689699.0,5196.0
7646,20,K205,P.S. 205 - BROOKLYN,SCA CIP,FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,,,,167448.0,167448.0,27316.0
7647,20,K205,P.S. 205 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2023-05-24,2023-09-25,2023-06-16,4223.0,630.0,630.0
7648,20,K205,P.S. 205 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2023-06-16,2023-12-14,2023-08-30,19003.0,2519.0,2519.0
7649,20,K205,P.S. 205 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2024-02-23,2025-01-17,,244922.0,228144.0,124806.0
7650,20,K205,P.S. 205 - BROOKLYN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2024-02-23,2025-01-17,,132653.0,116879.0,109522.0
7657,20,K223,I.S. 223 - BROOKLYN,SCA CIP,DAMAGED STEEL BEAM AT THE MAIN ENTRANCE #1,Scope,Complete,2015-05-28,2015-09-25,2015-10-15,7800.0,13872.0,13872.0
7658,20,K223,I.S. 223 - BROOKLYN,SCA CIP,DAMAGED STEEL BEAM AT THE MAIN ENTRANCE #1,Design,Complete,2016-02-17,2016-05-31,2016-10-17,28600.0,97927.0,97408.0
7659,20,K223,I.S. 223 - BROOKLYN,SCA CIP,DAMAGED STEEL BEAM AT THE MAIN ENTRANCE #1,Construction,In-Progress,2025-01-28,2026-03-03,,302900.0,323073.0,37211.0
7660,20,K223,I.S. 223 - BROOKLYN,SCA CIP,DAMAGED STEEL BEAM AT THE MAIN ENTRANCE #1,"CM,F&E",In-Progress,2025-01-28,2026-03-03,,70200.0,65812.0,37644.0
7676,20,K247,P.S. 247 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
7677,20,K247,P.S. 247 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,,0.0,0.0,0.0
7678,20,K247,P.S. 247 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
7679,20,K247,P.S. 247 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
7684,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
7685,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Design,PNS,,,,0.0,0.0,0.0
7686,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
7687,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
7688,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Scope,In-Progress,2025-03-14,2025-07-16,,0.0,17568.0,0.0
7689,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Design,PNS,,,,90000.0,72432.0,0.0
7690,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Construction,PNS,,,,1320000.0,1320000.0,0.0
7691,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,"CM,F&E",PNS,,,,90000.0,90000.0,0.0
7692,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,Scope,Complete,2023-01-19,2023-05-04,2023-04-20,0.0,20535.0,16156.0
7693,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,Design,Complete,2023-04-27,2023-09-27,2023-08-25,66000.0,91198.0,79130.0
7694,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,Construction,In-Progress,2024-05-03,2025-03-28,,968000.0,829700.0,697456.0
7695,20,K259,I.S. 259 - BROOKLYN,SCA CIP RESOA,FY23 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,"CM,F&E",In-Progress,2024-05-03,2025-03-28,,66000.0,85061.0,71409.0
7698,20,K264,P.S. 264 - BROOKLYN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
7699,20,K264,P.S. 264 - BROOKLYN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,Design,PNS,,,,0.0,0.0,0.0
7700,20,K264,P.S. 264 - BROOKLYN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
7701,20,K264,P.S. 264 - BROOKLYN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
7702,20,K264,P.S. 264 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Scope,Complete,2023-02-13,2023-06-14,2023-07-06,0.0,8552.0,8552.0
7703,20,K264,P.S. 264 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Design,Complete,2023-07-17,2023-12-18,2024-02-16,38920.0,35395.0,8468.0
7704,20,K264,P.S. 264 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,2024-07-26,2025-05-21,,570823.0,565350.0,0.0
7705,20,K264,P.S. 264 - BROOKLYN,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,"CM,F&E",In-Progress,2024-07-26,2025-05-21,,38920.0,65692.0,9754.0
7707,20,K310,P.S. 310 - BROOKLYN,SCA Furniture & Equipment,FY25 RESO A MOBILE SCIENCE LABS,F&E,PNS,,,,400000.0,400000.0,0.0
7709,20,K314,P.S. 503 - BROOKLYN,SCA CIP,CHILLER REPLACEMENT / AHU REPLACEMENT / BMS UPGRADE,Scope,Complete,2023-01-10,2023-06-09,2023-04-25,102004.0,94780.0,94780.0
7710,20,K314,P.S. 503 - BROOKLYN,SCA CIP,CHILLER REPLACEMENT / AHU REPLACEMENT / BMS UPGRADE,Design,Complete,2023-05-15,2023-10-17,2023-11-07,501798.0,650002.0,414260.0
7711,20,K314,P.S. 503 - BROOKLYN,SCA CIP,CHILLER REPLACEMENT / AHU REPLACEMENT / BMS UPGRADE,Construction,In-Progress,2024-04-03,2026-04-02,,10579036.0,9477291.0,1368347.0
7712,20,K314,P.S. 503 - BROOKLYN,SCA CIP,CHILLER REPLACEMENT / AHU REPLACEMENT / BMS UPGRADE,"CM,F&E",In-Progress,2024-04-03,2026-04-02,,775715.0,222802.0,222802.0
7718,20,K322,I.S. @ 650 86 STREET - BROOKLYN,SCA Capacity,NEW SCHOOL,Scope,Complete,2020-01-06,2020-06-03,2020-06-03,1215600.0,1326551.0,1300966.0
7719,20,K322,I.S. @ 650 86 STREET - BROOKLYN,SCA Capacity,NEW SCHOOL,Design,Complete,2020-06-04,2021-01-07,2021-01-07,5470200.0,4972423.0,4524785.0
7720,20,K322,I.S. @ 650 86 STREET - BROOKLYN,SCA Capacity,NEW SCHOOL,Construction,Complete,2021-11-22,2024-09-03,2024-08-23,68985300.0,71418034.0,65084320.0
7721,20,K322,I.S. @ 650 86 STREET - BROOKLYN,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",Complete,2021-11-22,2024-09-03,2024-08-23,9724800.0,8956450.0,7505715.0
7722,20,K331,I.S. 30 - BROOKLYN,SCA CIP RESOA,RESO A LIBRARY UPGRADE,Scope,Complete,2023-01-31,2023-06-01,2023-11-15,0.0,12426.0,12426.0
7723,20,K331,I.S. 30 - BROOKLYN,SCA CIP RESOA,RESO A LIBRARY UPGRADE,Design,Complete,2023-11-21,2024-04-09,2024-04-05,30000.0,43596.0,33443.0
7724,20,K331,I.S. 30 - BROOKLYN,SCA CIP RESOA,RESO A LIBRARY UPGRADE,Construction,In-Progress,2025-03-13,2026-02-05,,440000.0,267500.0,0.0
7725,20,K331,I.S. 30 - BROOKLYN,SCA CIP RESOA,RESO A LIBRARY UPGRADE,"CM,F&E",In-Progress,2025-03-13,2026-02-05,,30000.0,30041.0,9443.0
7728,20,K337,P.S. @ 8802 5 AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,Scope,In-Progress,2024-11-07,2025-05-02,,1685653.0,1685653.0,14522.0
7729,20,K337,P.S. @ 8802 5 AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,Design,PNS,,,,6742613.0,6742613.0,58089.0
7730,20,K337,P.S. @ 8802 5 AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,Construction,PNS,,,,93132348.0,93132348.0,794412.0
7731,20,K337,P.S. @ 8802 5 AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,,,,12220987.0,12220987.0,286147.0
7732,20,K337,P.S. @ 8802 5 AVENUE - BROOKLYN,SCA CIP,DEMOLITION,Scope,Complete,2023-06-06,2023-06-06,2023-06-06,40607.0,139141.0,122905.0
7733,20,K337,P.S. @ 8802 5 AVENUE - BROOKLYN,SCA CIP,DEMOLITION,Design,Complete,2023-06-13,2023-09-29,2023-11-08,203037.0,102644.0,90157.0
7734,20,K337,P.S. @ 8802 5 AVENUE - BROOKLYN,SCA CIP,DEMOLITION,Construction,PNS,,,,4568326.0,4568326.0,1030340.0
7735,20,K337,P.S. @ 8802 5 AVENUE - BROOKLYN,SCA CIP,DEMOLITION,"CM,F&E",PNS,,,,284251.0,284251.0,157774.0
7736,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,Scope,Complete,2024-04-16,2024-09-10,2024-09-10,2074509.0,1047543.0,1020321.0
7737,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,Design,In-Progress,2024-09-11,2025-04-14,,8298036.0,8298036.0,3701013.0
7738,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,Construction,PNS,,,,114616619.0,114616619.0,728592.0
7739,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,,,,15040190.0,15040190.0,411845.0
7740,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA Capacity,EARLY DEMO WORK-TANK REMOVAL,Scope,Complete,2024-04-15,2024-04-15,2024-04-15,7427.0,395.0,395.0
7741,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA Capacity,EARLY DEMO WORK-TANK REMOVAL,Design,Complete,2024-04-16,2024-05-20,2024-05-20,29708.0,1579.0,1579.0
7742,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA Capacity,EARLY DEMO WORK-TANK REMOVAL,Construction,PNS,,,,410346.0,410346.0,4748.0
7743,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA Capacity,EARLY DEMO WORK-TANK REMOVAL,"CM,Art,F&E",PNS,,,,53846.0,53846.0,25294.0
7744,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA CIP,DEMOLITION,Scope,Complete,2024-04-15,2024-04-15,2024-04-15,124450.0,69490.0,69490.0
7745,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA CIP,DEMOLITION,Design,Complete,2024-04-16,2024-08-30,2024-12-20,580767.0,352948.0,339557.0
7746,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA CIP,DEMOLITION,Construction,PNS,,,,9209311.0,9209311.0,93424.0
7747,20,K382,H.S. @ 425-447 OVINGTON AVENUE - BROOKLYN,SCA CIP,DEMOLITION,"CM,F&E",PNS,,,,912634.0,912634.0,123310.0
7749,20,K445,NEW UTRECHT HS - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS,Scope,Complete,2024-07-11,2024-11-26,2025-03-06,70276.0,191101.0,74531.0
7750,20,K445,NEW UTRECHT HS - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS,Design,PNS,,,,327952.0,327952.0,5755.0
7751,20,K445,NEW UTRECHT HS - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS,Construction,PNS,,,,5200370.0,5200370.0,39425.0
7752,20,K445,NEW UTRECHT HS - BROOKLYN,SCA CIP,FLOOD ELIMINATION / PARAPETS,"CM,F&E",PNS,,,,515352.0,515352.0,18911.0
7756,20,K464,K000 - BROOKLYN,SCA Lease Site Improvement,LEASE / GYMATORIUM ACCESSIBILITY,Scope,Complete,2021-09-21,2022-04-04,2022-04-04,235540.0,284530.0,284530.0
7757,20,K464,K000 - BROOKLYN,SCA Lease Site Improvement,LEASE / GYMATORIUM ACCESSIBILITY,Design,Complete,2022-04-04,2022-05-31,2022-08-16,1059930.0,700013.0,679643.0
7758,20,K464,K000 - BROOKLYN,SCA Lease Site Improvement,LEASE / GYMATORIUM ACCESSIBILITY,Construction,Complete,2023-04-12,2024-09-03,2024-09-01,13366895.0,12674328.0,11812935.0
7759,20,K464,K000 - BROOKLYN,SCA Lease Site Improvement,LEASE / GYMATORIUM ACCESSIBILITY,"CM,F&E",Complete,2023-04-12,2024-09-03,2024-09-01,1884320.0,1926533.0,1815767.0
7760,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP,EXTERIOR MASONRY / ROOFS,Scope,Complete,2019-05-31,2019-10-15,2019-12-13,54000.0,46070.0,46070.0
7761,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP,EXTERIOR MASONRY / ROOFS,Design,Complete,2020-01-14,2020-06-15,2021-05-11,270000.0,247422.0,247422.0
7762,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP,EXTERIOR MASONRY / ROOFS,Construction,PNS,,,,6075000.0,6075000.0,9499.0
7763,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP,EXTERIOR MASONRY / ROOFS,"CM,F&E",PNS,,,,378000.0,378000.0,27167.0
7764,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
7765,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,PNS,,,,0.0,0.0,0.0
7766,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
7767,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
7768,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP RESOA,FY21 RESO A GYMNASIUM UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
7769,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP RESOA,FY21 RESO A GYMNASIUM UPGRADE,Design,PNS,,,,0.0,0.0,0.0
7770,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP RESOA,FY21 RESO A GYMNASIUM UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
7771,20,K485,TELECOM. ARTS & TECH. HS - K,SCA CIP RESOA,FY21 RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
7775,20,K486,I.S. 187 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
7776,20,K486,I.S. 187 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,,,,0.0,0.0,0.0
7777,20,K486,I.S. 187 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
7778,20,K486,I.S. 187 - BROOKLYN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
7779,20,K486,I.S. 187 - BROOKLYN,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Scope,In-Progress,2025-02-13,2025-06-16,,0.0,21960.0,0.0
7780,20,K486,I.S. 187 - BROOKLYN,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Design,PNS,,,,90000.0,68040.0,0.0
7781,20,K486,I.S. 187 - BROOKLYN,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,,,,1320000.0,1320000.0,0.0
7782,20,K486,I.S. 187 - BROOKLYN,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,,,,90000.0,90000.0,0.0
7788,20,K490,FORT HAMILTON HS - K,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,2019-07-09,2019-10-07,2020-02-12,30510.0,61982.0,61982.0
7789,20,K490,FORT HAMILTON HS - K,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,2020-02-12,2020-08-13,2021-06-03,152550.0,284439.0,281952.0
7790,20,K490,FORT HAMILTON HS - K,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,2023-04-10,2024-04-08,,3432375.0,3105181.0,2306549.0
7791,20,K490,FORT HAMILTON HS - K,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,2023-04-10,2024-04-08,,213570.0,245267.0,245267.0
7792,20,K490,FORT HAMILTON HS - K,SCA CIP,REPLACE 6' FIRE DOMESTIC WATER MAIN VALVES,Scope,Complete,2019-06-04,2019-08-05,2019-07-12,11889.0,2293.0,2293.0
7793,20,K490,FORT HAMILTON HS - K,SCA CIP,REPLACE 6' FIRE DOMESTIC WATER MAIN VALVES,Design,Complete,2019-07-12,2019-11-12,2021-08-27,53501.0,77981.0,68642.0
7794,20,K490,FORT HAMILTON HS - K,SCA CIP,REPLACE 6' FIRE DOMESTIC WATER MAIN VALVES,Construction,In-Progress,2024-11-08,2025-10-03,,689562.0,1000319.0,59374.0
7795,20,K490,FORT HAMILTON HS - K,SCA CIP,REPLACE 6' FIRE DOMESTIC WATER MAIN VALVES,"CM,F&E",In-Progress,2024-11-08,2025-10-03,,127807.0,122422.0,13529.0
7796,20,K490,FORT HAMILTON HS - K,SCA CIP,WASTE SYSTEM,Scope,Complete,2021-06-15,2021-10-15,2021-10-27,37080.0,142540.0,142540.0
7797,20,K490,FORT HAMILTON HS - K,SCA CIP,WASTE SYSTEM,Design,Complete,2021-12-08,2022-05-02,2022-05-11,185400.0,331805.0,331805.0
7798,20,K490,FORT HAMILTON HS - K,SCA CIP,WASTE SYSTEM,Construction,In-Progress,2022-07-11,2023-10-03,,4171500.0,3841783.0,3447564.0
7799,20,K490,FORT HAMILTON HS - K,SCA CIP,WASTE SYSTEM,"CM,F&E",In-Progress,2022-07-11,2023-10-03,,259560.0,369021.0,369021.0
7800,20,K490,FORT HAMILTON HS - K,SCA CIP,IDA FLOOD ELIMINATION / IDA HEATING PLANT UPGRADE / IDA CLIMATE CONTROL / NON-IDA CLIMATE CONTROL / IDA INTERIOR SPACES / IDA POOL BOILER / IDA ELECTRICAL SYSTEMS / PATH OF TRAVEL IDA INTERIOR SPACES,Scope,Complete,2022-01-31,2024-03-13,2024-03-08,281176.0,344334.0,321985.0
7801,20,K490,FORT HAMILTON HS - K,SCA CIP,IDA FLOOD ELIMINATION / IDA HEATING PLANT UPGRADE / IDA CLIMATE CONTROL / NON-IDA CLIMATE CONTROL / IDA INTERIOR SPACES / IDA POOL BOILER / IDA ELECTRICAL SYSTEMS / PATH OF TRAVEL IDA INTERIOR SPACES,Design,Complete,2024-03-12,2024-07-11,2024-12-03,1391023.0,708023.0,669919.0
7802,20,K490,FORT HAMILTON HS - K,SCA CIP,IDA FLOOD ELIMINATION / IDA HEATING PLANT UPGRADE / IDA CLIMATE CONTROL / NON-IDA CLIMATE CONTROL / IDA INTERIOR SPACES / IDA POOL BOILER / IDA ELECTRICAL SYSTEMS / PATH OF TRAVEL IDA INTERIOR SPACES,Construction,PNS,,,,30012488.0,30012488.0,101329.0
7803,20,K490,FORT HAMILTON HS - K,SCA CIP,IDA FLOOD ELIMINATION / IDA HEATING PLANT UPGRADE / IDA CLIMATE CONTROL / NON-IDA CLIMATE CONTROL / IDA INTERIOR SPACES / IDA POOL BOILER / IDA ELECTRICAL SYSTEMS / PATH OF TRAVEL IDA INTERIOR SPACES,"CM,F&E",PNS,,,,2079705.0,2079705.0,70310.0
7806,20,K505,FRANKLIN D. ROOSEVELT HS - K,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,2022-06-30,2022-11-16,2023-06-01,296709.0,316715.0,312909.0
7807,20,K505,FRANKLIN D. ROOSEVELT HS - K,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,2023-06-12,2023-11-14,2023-12-12,1477044.0,679169.0,651816.0
7808,20,K505,FRANKLIN D. ROOSEVELT HS - K,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,PNS,,,,32671091.0,32671091.0,93409.0
7809,20,K505,FRANKLIN D. ROOSEVELT HS - K,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",PNS,,,,2125726.0,2125726.0,59467.0
7810,20,K505,FRANKLIN D. ROOSEVELT HS - K,SCA CIP,COVID VENTILATION / STH SBHC / FIRE ALARM SYSTEM REPLACEMENT / CLIMATE CONTROL / PATH OF TRAVEL STH SBHC,Scope,Complete,2021-01-12,2022-09-22,2022-08-25,178605.0,241956.0,227982.0
7811,20,K505,FRANKLIN D. ROOSEVELT HS - K,SCA CIP,COVID VENTILATION / STH SBHC / FIRE ALARM SYSTEM REPLACEMENT / CLIMATE CONTROL / PATH OF TRAVEL STH SBHC,Design,Complete,2022-08-26,2022-12-28,2023-04-05,892900.0,781148.0,599407.0
7812,20,K505,FRANKLIN D. ROOSEVELT HS - K,SCA CIP,COVID VENTILATION / STH SBHC / FIRE ALARM SYSTEM REPLACEMENT / CLIMATE CONTROL / PATH OF TRAVEL STH SBHC,Construction,In-Progress,2023-09-18,2026-03-05,,20079437.0,18770661.0,3815014.0
7813,20,K505,FRANKLIN D. ROOSEVELT HS - K,SCA CIP,COVID VENTILATION / STH SBHC / FIRE ALARM SYSTEM REPLACEMENT / CLIMATE CONTROL / PATH OF TRAVEL STH SBHC,"CM,F&E",In-Progress,2023-09-18,2026-03-05,,1272203.0,376250.0,363161.0
7822,20,K668,PRE-K CENTER @ 412 63 STREET - BROOKLYN,PRE-K,LEASE,Scope,Complete,2016-11-10,2017-02-22,2017-02-22,142794.0,69437.0,69437.0
7823,20,K668,PRE-K CENTER @ 412 63 STREET - BROOKLYN,PRE-K,LEASE,Design,Complete,2017-08-08,2017-11-22,2024-08-08,642574.0,683428.0,655632.0
7824,20,K668,PRE-K CENTER @ 412 63 STREET - BROOKLYN,PRE-K,LEASE,Construction,PNS,,,,8103572.0,8103572.0,679877.0
7825,20,K668,PRE-K CENTER @ 412 63 STREET - BROOKLYN,PRE-K,LEASE,"CM,F&E",PNS,,,,1142354.0,1142354.0,110169.0
7831,20,K807,P.S. 163 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY,Scope,Complete,2024-02-05,2024-06-20,2024-07-22,24271.0,33964.0,33964.0
7832,20,K807,P.S. 163 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY,Design,In-Progress,2024-08-13,2025-01-16,,109148.0,109148.0,45476.0
7833,20,K807,P.S. 163 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY,Construction,PNS,,,,1694146.0,1694146.0,0.0
7834,20,K807,P.S. 163 - BROOKLYN,SCA CIP,ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,,,,223822.0,223822.0,19358.0
7840,21,K043,I.S. 98 - BROOKLYN,SCA CIP,FACADE / WINDOWS / PARAPETS,Scope,Complete,2019-09-05,2020-01-24,2021-06-22,115935.0,142083.0,139366.0
7841,21,K043,I.S. 98 - BROOKLYN,SCA CIP,FACADE / WINDOWS / PARAPETS,Design,Complete,2021-07-12,2021-12-13,2022-01-25,572050.0,366045.0,366045.0
7842,21,K043,I.S. 98 - BROOKLYN,SCA CIP,FACADE / WINDOWS / PARAPETS,Construction,In-Progress,2022-06-13,2024-03-03,,12211563.0,11744048.0,10477985.0
7843,21,K043,I.S. 98 - BROOKLYN,SCA CIP,FACADE / WINDOWS / PARAPETS,"CM,F&E",In-Progress,2022-06-13,2024-03-03,,868733.0,830805.0,826157.0
